PropertyID,PropertyName,PropertyType,Region,ListedPrice,Status
P001,Yas Golf Collection 1,Studio Apartment,JVC,791478,Sold
P002,Emaar Beachfront 2,2 Bedroom Apartment,Al Majaz,5626187,Sold
P003,Vida Residences 3,Office Space,JVC,6092664,Sold
P004,Saadiyat Lagoons 4,Studio Apartment,Yas Island,465647,Sold
P005,Palm Tower Residences 5,2 Bedroom Apartment,Downtown Dubai,4095177,Sold
P006,Saadiyat Lagoons 6,Studio Apartment,Al Reem Island,5576394,Sold
P007,Creek Horizon 7,Retail Unit,Palm Jumeirah,874959,Sold
P008,Saadiyat Lagoons 8,2 Bedroom Apartment,Yas Island,7933517,Sold
P009,Vida Residences 9,1 Bedroom Apartment,Dubai Hills Estate,11663539,Sold
P010,Emaar Beachfront 10,Penthouse,Dubai Marina,11255454,Sold
P011,Creek Horizon 11,Retail Unit,Downtown Dubai,10233054,Sold
P012,Marina Gate 12,Penthouse,Al Majaz,9989417,Sold
P013,Emaar Beachfront 13,Retail Unit,Dubai Marina,10184804,Available
P014,Palm Tower Residences 14,Penthouse,Business Bay,2141380,Sold
P015,Address Beach Residences 15,Luxury Villa,Al Khan,7990756,Sold
P016,Creek Horizon 16,Studio Apartment,Al Nahda Sharjah,8571161,Available
P017,Reem Five 17,Retail Unit,Muwaileh,1487786,Sold
P018,Marina Gate 18,Studio Apartment,Downtown Dubai,1079897,Sold
P019,Marina Gate 19,2 Bedroom Apartment,Saadiyat Island,5999946,Sold
P020,Yas Golf Collection 20,Luxury Villa,Khalifa City,7002182,Sold
P021,Yas Golf Collection 21,Townhouse,Business Bay,11969822,Sold
P022,Palm Tower Residences 22,2 Bedroom Apartment,Yas Island,6078541,Sold
P023,Palm Tower Residences 23,Retail Unit,Tilal City,3472902,Sold
P024,Palm Tower Residences 24,Penthouse,Downtown Dubai,9652836,Sold
P025,Palm Tower Residences 25,2 Bedroom Apartment,Tilal City,10701728,Sold
P026,Marina Gate 26,1 Bedroom Apartment,Al Khan,9709886,Sold
P027,Creek Horizon 27,Studio Apartment,Business Bay,9657102,Sold
P028,Palm Tower Residences 28,Penthouse,Dubai Marina,6981579,Available
P029,Marina Gate 29,Penthouse,Business Bay,2111534,Sold
P030,Creek Horizon 30,1 Bedroom Apartment,Al Reem Island,4677763,Sold
P031,Emaar Beachfront 31,Penthouse,Muwaileh,6229032,Sold
P032,Burj Vista 32,Penthouse,Al Majaz,2717034,Available
P033,Burj Vista 33,Retail Unit,Al Khan,1712035,Sold
P034,Address Beach Residences 34,Office Space,Al Nahda Sharjah,1019970,Sold
P035,Burj Vista 35,Studio Apartment,Dubai Hills Estate,1543160,Sold
P036,Emaar Beachfront 36,Penthouse,Al Majaz,11880425,Sold
P037,Vida Residences 37,Luxury Villa,Tilal City,9469129,Sold
P038,Yas Golf Collection 38,2 Bedroom Apartment,Al Reem Island,5995328,Sold
P039,Vida Residences 39,Retail Unit,Palm Jumeirah,5629086,Sold
P040,Address Beach Residences 40,Studio Apartment,Palm Jumeirah,10158786,Sold
P041,Vida Residences 41,Studio Apartment,Dubai Hills Estate,10635010,Sold
P042,Vida Residences 42,Studio Apartment,JLT,1432880,Sold
P043,Yas Golf Collection 43,Studio Apartment,Al Reem Island,657747,Sold
P044,Reem Five 44,2 Bedroom Apartment,Tilal City,10896016,Sold
P045,Yas Golf Collection 45,1 Bedroom Apartment,Tilal City,3224813,Sold
P046,Burj Vista 46,Studio Apartment,Al Raha Beach,2845640,Sold
P047,Burj Vista 47,Luxury Villa,Yas Island,11272163,Sold
P048,Marina Gate 48,Office Space,Dubai Marina,3159054,Sold
P049,Address Beach Residences 49,2 Bedroom Apartment,JVC,4753518,Sold
P050,Emaar Beachfront 50,Townhouse,Business Bay,576491,Sold
P051,Yas Golf Collection 51,Penthouse,Muwaileh,10750733,Sold
P052,Yas Golf Collection 52,Townhouse,Yas Island,7995729,Sold
P053,Address Beach Residences 53,Penthouse,Al Raha Beach,5387320,Sold
P054,Vida Residences 54,1 Bedroom Apartment,Al Nahda Sharjah,9439059,Sold
P055,Creek Horizon 55,2 Bedroom Apartment,JVC,3806142,Sold
P056,Burj Vista 56,2 Bedroom Apartment,Tilal City,11009195,Sold
P057,Vida Residences 57,1 Bedroom Apartment,Dubai Hills Estate,7588317,Sold
P058,Palm Tower Residences 58,2 Bedroom Apartment,Muwaileh,1577068,Sold
P059,Saadiyat Lagoons 59,Office Space,Tilal City,8596781,Sold
P060,Burj Vista 60,Office Space,Business Bay,10022360,Sold
P061,Creek Horizon 61,Townhouse,Dubai Marina,4612426,Sold
P062,Reem Five 62,Townhouse,Saadiyat Island,10551002,Sold
P063,Saadiyat Lagoons 63,Studio Apartment,Downtown Dubai,7814620,Sold
P064,Palm Tower Residences 64,2 Bedroom Apartment,Dubai Hills Estate,9088433,Sold
P065,Vida Residences 65,Luxury Villa,JVC,8065550,Available
P066,Marina Gate 66,1 Bedroom Apartment,Tilal City,3648638,Sold
P067,Burj Vista 67,Studio Apartment,JLT,11671648,Sold
P068,Address Beach Residences 68,Penthouse,Palm Jumeirah,6415539,Available
P069,Saadiyat Lagoons 69,Office Space,JLT,7024274,Sold
P070,Marina Gate 70,Office Space,Al Nahda Sharjah,10373766,Sold
P071,Creek Horizon 71,Luxury Villa,Al Nahda Sharjah,4702209,Sold
